record_id,file_path,title,source_type,content_type,topic,document_type,primary_user,expected_use,confidentiality,suggested_query
PDF-001,documents/pdfs/Ops_Onboarding_Access_Requests.pdf,Operations Onboarding: Access Request Handling,starter_pack,pdf,access_request_routing,training_pdf,operations_coordinator,"Retrieve access request requirements, routing rules, and escalation cues.",sanitized_sample,Which access role requires supervisor review?
PDF-002,documents/pdfs/Approval_Escalation_Process.pdf,Approval Queue Escalation Process,starter_pack,pdf,approval_escalation,training_pdf,operations_desk,"Retrieve escalation levels, note format, and conditions for supervisor review.",sanitized_sample,When does an approval item require L2 supervisor review?
PDF-003,documents/pdfs/Refund_Exception_Handling_Guide.pdf,Refund Exception Handling Guide,starter_pack,pdf,refund_exception_handling,training_pdf,refund_operations_coordinator,"Retrieve refund exception categories, required information, and routing boundaries.",sanitized_sample,What should a refund exception summary include?
NOTE-001,documents/notes/dashboard_filter_setup.md,Dashboard Filter Setup Notes,starter_pack,markdown,dashboard_filter_setup,sop_note,operations_analyst,"Retrieve saved filter setup steps, naming conventions, and screenshot evidence requirements.",sanitized_sample,What fields are required for a saved dashboard filter?
NOTE-002,documents/notes/monthly_quality_review_sop.md,Monthly Quality Review SOP,starter_pack,markdown,quality_review,sop_note,team_lead,"Retrieve quality review sample rules, review dimensions, and escalation patterns.",sanitized_sample,When should repeated monthly review errors be escalated?
NOTE-003,documents/notes/user_role_matrix.txt,User Role Matrix - Operations Tools,starter_pack,text,access_role_matrix,role_reference,operations_coordinator,"Retrieve permitted actions and review requirements for Viewer, Processor, Reviewer, and Team Lead roles.",sanitized_sample,What can a Processor role edit?
NOTE-004,documents/notes/internal_search_use_cases.md,Internal Search Use Cases for Training Content,starter_pack,markdown,retrieval_test_queries,use_case_note,prototype_reviewer,Provide starter questions for search assistant testing.,sanitized_sample,Which screenshot shows the saved filter naming area?
NOTE-005,documents/notes/training_content_index.md,Training Content Index,starter_pack,markdown,content_index,index_note,prototype_reviewer,Map topics to files and screenshot references.,sanitized_sample,Which files are linked to refund exception handling?
PUB-001,public_sources/texts/Access_request_conditions.txt,Access request conditions,public_source,text,access_request_routing,public_reference,operations_coordinator,"Public reference for how access request conditions, approval sequences, and expiry are configured.",public_source,What are access request conditions?
PUB-002,public_sources/texts/Access_requests_overvie.txt,Access requests overview,public_source,text,access_request_routing,public_reference,operations_coordinator,"Public reference overview covering conditions, request types, and approver/requester roles.",public_source,How do access requests work end to end?
PUB-003,public_sources/texts/Handle_app_integration_requests.txt,Handle app integration requests,public_source,text,access_request_routing,public_reference,operations_coordinator,"Public reference for how an approver reviews and acts on an app access request.",public_source,How does an approver review an app request?
PUB-004,public_sources/texts/Configure_self_service_approval_workflow.txt,Configure a self service approval workflow,public_source,text,access_request_routing,public_reference,operations_coordinator,"Public reference for setting up an approval chain, entitlement rights, and expiry notifications for access requests.",public_source,How do I configure an approval workflow?
PUB-005,public_sources/texts/request_type_settings.txt,Request type settings,public_source,text,access_request_routing,public_reference,operations_coordinator,"Public reference for configuring request type questions, tasks, and timers.",public_source,What are request type settings?
PUB-006,public_sources/texts/Use_intelligent_triage.txt,Using intelligent triage for escalations,public_source,text,approval_escalation,public_reference,operations_desk,"Public reference for identifying escalation patterns and automatically routing tickets.",public_source,How do you identify tickets that need escalation?
PUB-007,public_sources/texts/workflow_receipe.txt,Managing your escalation queue,public_source,text,approval_escalation,public_reference,operations_desk,"Public reference for setting up an escalation group, triggers, and a filtered escalation view.",public_source,How do I set up an escalation queue?
PUB-008,public_sources/texts/Disputes_documentation.md,Disputes documentation,public_source,markdown,refund_exception_handling,public_reference,refund_operations_coordinator,"Public reference for how a payment dispute (chargeback) is processed end to end.",public_source,How is a payment dispute processed?
PUB-009,public_sources/texts/Disputes_help_topics.txt,Disputes help topics,public_source,text,refund_exception_handling,public_reference,refund_operations_coordinator,"Public reference help topic covering dispute resolution and dispute countered fees.",public_source,What is the dispute resolution process?
PUB-010,public_sources/texts/Issuing_Disputes.md,Issuing disputes,public_source,markdown,refund_exception_handling,public_reference,refund_operations_coordinator,"Public reference for dispute eligibility, timeframes, and why a dispute might be rejected or lost.",public_source,Why might a dispute be rejected?
PUB-011,public_sources/texts/Refund_and_cancel_payments.md,Refund and cancel payments,public_source,markdown,refund_exception_handling,public_reference,refund_operations_coordinator,"Public reference for issuing refunds, refund failures, and double-refund risk.",public_source,What happens if a refund fails?
PUB-012,public_sources/texts/refunds_help_topics.txt,Refunds help topics,public_source,text,refund_exception_handling,public_reference,refund_operations_coordinator,"Public reference help topic list covering refund status, cancellation, and fees.",public_source,How do I issue a partial refund?
PUB-013,public_sources/texts/add_dashboard_filter.txt,Add a dashboard filter,public_source,text,dashboard_filter_setup,public_reference,operations_analyst,"Public reference for adding a filter and using equivalent fields on a dashboard.",public_source,How do I add a filter to a dashboard?
PUB-014,public_sources/texts/add_selectors.txt,Add selectors to filter dashboard results,public_source,text,dashboard_filter_setup,public_reference,operations_analyst,"Public reference for global filter panels and selection-based filter widgets.",public_source,How do I add a filter widget to a dashboard?
